,name,fruit_type,r,g,b,rgb(),width,height,width_heigth_proportion,computed_hex
1569,r_295_100.jpg,Banana,104,144,160,"rgb(104,144,160)",40,103,0.3883495145631068,6852768
1634,r_199_100.jpg,Banana,111,165,181,"rgb(111,165,181)",40,103,0.3883495145631068,7316917
1539,r_177_100.jpg,Banana,109,162,180,"rgb(109,162,180)",40,103,0.3883495145631068,7185076
1757,r_298_100.jpg,Banana,104,145,161,"rgb(104,145,161)",40,103,0.3883495145631068,6853025
1479,r_182_100.jpg,Banana,109,163,180,"rgb(109,163,180)",40,103,0.3883495145631068,7185332
1815,r_194_100.jpg,Banana,110,164,181,"rgb(110,164,181)",40,103,0.3883495145631068,7251125
1463,r_3_100.jpg,Banana,106,148,164,"rgb(106,148,164)",40,103,0.3883495145631068,6984868
1528,r_94_100.jpg,Banana,108,149,163,"rgb(108,149,163)",39,100,0.39,7116195
1509,r_200_100.jpg,Banana,111,165,181,"rgb(111,165,181)",40,102,0.39215686274509803,7316917
1729,r_195_100.jpg,Banana,110,164,180,"rgb(110,164,180)",40,102,0.39215686274509803,7251124
1730,r_185_100.jpg,Banana,109,163,180,"rgb(109,163,180)",40,102,0.39215686274509803,7185332
1515,r_193_100.jpg,Banana,110,164,180,"rgb(110,164,180)",40,102,0.39215686274509803,7251124
1584,r_181_100.jpg,Banana,109,163,180,"rgb(109,163,180)",40,102,0.39215686274509803,7185332
1761,r_179_100.jpg,Banana,109,163,180,"rgb(109,163,180)",40,102,0.39215686274509803,7185332
1814,r_184_100.jpg,Banana,108,163,180,"rgb(108,163,180)",40,102,0.39215686274509803,7119796
1614,r_198_100.jpg,Banana,110,165,181,"rgb(110,165,181)",40,102,0.39215686274509803,7251381
1899,r_197_100.jpg,Banana,111,165,181,"rgb(111,165,181)",40,102,0.39215686274509803,7316917
1503,r_176_100.jpg,Banana,109,162,179,"rgb(109,162,179)",40,102,0.39215686274509803,7185075
1681,r_202_100.jpg,Banana,111,165,181,"rgb(111,165,181)",41,103,0.39805825242718446,7316917
1613,r_188_100.jpg,Banana,109,164,180,"rgb(109,164,180)",41,103,0.39805825242718446,7185588
1910,r_293_100.jpg,Banana,103,143,158,"rgb(103,143,158)",41,103,0.39805825242718446,6786974
1588,r_203_100.jpg,Banana,111,166,181,"rgb(111,166,181)",41,103,0.39805825242718446,7317173
1856,r_204_100.jpg,Banana,112,166,182,"rgb(112,166,182)",41,103,0.39805825242718446,7382710
1866,r_196_100.jpg,Banana,110,165,181,"rgb(110,165,181)",41,103,0.39805825242718446,7251381
1541,r_201_100.jpg,Banana,111,165,181,"rgb(111,165,181)",41,103,0.39805825242718446,7316917
1892,r_205_100.jpg,Banana,112,165,181,"rgb(112,165,181)",41,103,0.39805825242718446,7382453
1629,r_300_100.jpg,Banana,106,147,162,"rgb(106,147,162)",41,103,0.39805825242718446,6984610
1786,r_206_100.jpg,Banana,112,166,181,"rgb(112,166,181)",41,103,0.39805825242718446,7382709
1502,r_95_100.jpg,Banana,107,148,162,"rgb(107,148,162)",40,100,0.4,7050402
1593,r_96_100.jpg,Banana,108,148,162,"rgb(108,148,162)",40,100,0.4,7115938
1795,r_264_100.jpg,Banana,118,159,170,"rgb(118,159,170)",40,100,0.4,7774122
1674,r_190_100.jpg,Banana,109,164,180,"rgb(109,164,180)",41,102,0.4019607843137255,7185588
1784,r_170_100.jpg,Banana,109,161,178,"rgb(109,161,178)",41,102,0.4019607843137255,7184818
1897,r_173_100.jpg,Banana,109,162,179,"rgb(109,162,179)",41,102,0.4019607843137255,7185075
1583,r_191_100.jpg,Banana,109,164,180,"rgb(109,164,180)",41,102,0.4019607843137255,7185588
1514,r_183_100.jpg,Banana,108,163,179,"rgb(108,163,179)",41,102,0.4019607843137255,7119795
1478,r_192_100.jpg,Banana,109,164,180,"rgb(109,164,180)",41,102,0.4019607843137255,7185588
1700,r_171_100.jpg,Banana,109,161,178,"rgb(109,161,178)",41,102,0.4019607843137255,7184818
1635,r_189_100.jpg,Banana,109,163,180,"rgb(109,163,180)",41,102,0.4019607843137255,7185332
1686,r_174_100.jpg,Banana,109,162,179,"rgb(109,162,179)",41,102,0.4019607843137255,7185075
1898,r_187_100.jpg,Banana,109,163,180,"rgb(109,163,180)",41,102,0.4019607843137255,7185332
1867,r_186_100.jpg,Banana,109,163,180,"rgb(109,163,180)",41,102,0.4019607843137255,7185332
1522,r_297_100.jpg,Banana,103,144,160,"rgb(103,144,160)",42,104,0.40384615384615385,6787232
1774,r_299_100.jpg,Banana,106,146,162,"rgb(106,146,162)",42,104,0.40384615384615385,6984354
1488,r_296_100.jpg,Banana,104,144,160,"rgb(104,144,160)",42,104,0.40384615384615385,6852768
1857,r_172_100.jpg,Banana,107,161,178,"rgb(107,161,178)",42,103,0.4077669902912621,7053746
1763,r_169_100.jpg,Banana,108,160,177,"rgb(108,160,177)",42,103,0.4077669902912621,7119025
1750,r_221_100.jpg,Banana,117,166,181,"rgb(117,166,181)",42,103,0.4077669902912621,7710389
1777,r_220_100.jpg,Banana,117,166,181,"rgb(117,166,181)",42,103,0.4077669902912621,7710389
1854,r_214_100.jpg,Banana,115,166,181,"rgb(115,166,181)",42,103,0.4077669902912621,7579317
1832,r_222_100.jpg,Banana,117,166,180,"rgb(117,166,180)",42,103,0.4077669902912621,7710388
1783,r_160_100.jpg,Banana,104,156,174,"rgb(104,156,174)",42,103,0.4077669902912621,6855854
1858,r_162_100.jpg,Banana,106,157,175,"rgb(106,157,175)",42,103,0.4077669902912621,6987183
1591,r_165_100.jpg,Banana,105,158,175,"rgb(105,158,175)",42,103,0.4077669902912621,6921903
1469,r_209_100.jpg,Banana,112,166,181,"rgb(112,166,181)",42,103,0.4077669902912621,7382709
1471,r_219_100.jpg,Banana,116,166,181,"rgb(116,166,181)",42,103,0.4077669902912621,7644853
1484,r_159_100.jpg,Banana,104,156,174,"rgb(104,156,174)",42,103,0.4077669902912621,6855854
1648,r_224_100.jpg,Banana,117,166,181,"rgb(117,166,181)",42,103,0.4077669902912621,7710389
1507,r_210_100.jpg,Banana,114,166,181,"rgb(114,166,181)",42,103,0.4077669902912621,7513781
1538,r_167_100.jpg,Banana,107,159,177,"rgb(107,159,177)",42,103,0.4077669902912621,7053233
1543,r_211_100.jpg,Banana,113,166,181,"rgb(113,166,181)",42,103,0.4077669902912621,7448245
1683,r_212_100.jpg,Banana,114,166,181,"rgb(114,166,181)",42,103,0.4077669902912621,7513781
1624,r_225_100.jpg,Banana,118,166,181,"rgb(118,166,181)",42,103,0.4077669902912621,7775925
1564,r_208_100.jpg,Banana,113,166,181,"rgb(113,166,181)",42,103,0.4077669902912621,7448245
1562,r_218_100.jpg,Banana,116,166,181,"rgb(116,166,181)",42,103,0.4077669902912621,7644853
1702,r_217_100.jpg,Banana,116,166,181,"rgb(116,166,181)",42,103,0.4077669902912621,7644853
1685,r_164_100.jpg,Banana,107,159,176,"rgb(107,159,176)",42,103,0.4077669902912621,7053232
1742,r_135_100.jpg,Banana,95,141,161,"rgb(95,141,161)",41,100,0.41,6262177
1769,r_134_100.jpg,Banana,96,141,161,"rgb(96,141,161)",41,100,0.41,6327713
1738,r_168_100.jpg,Banana,108,160,177,"rgb(108,160,177)",42,102,0.4117647058823529,7119025
1701,r_161_100.jpg,Banana,105,157,174,"rgb(105,157,174)",42,102,0.4117647058823529,6921646
1505,r_166_100.jpg,Banana,107,159,176,"rgb(107,159,176)",42,102,0.4117647058823529,7053232
1873,r_292_100.jpg,Banana,104,143,159,"rgb(104,143,159)",42,102,0.4117647058823529,6852511
1525,r_158_100.jpg,Banana,104,156,174,"rgb(104,156,174)",42,102,0.4117647058823529,6855854
1888,r_90_100.jpg,Banana,109,151,165,"rgb(109,151,165)",42,102,0.4117647058823529,7182245
1895,r_163_100.jpg,Banana,107,158,176,"rgb(107,158,176)",42,102,0.4117647058823529,7052976
1670,r_294_100.jpg,Banana,102,143,158,"rgb(102,143,158)",43,104,0.41346153846153844,6721438
1557,r_133_100.jpg,Banana,93,139,159,"rgb(93,139,159)",41,99,0.41414141414141414,6130591
1827,r_154_100.jpg,Banana,103,154,172,"rgb(103,154,172)",43,103,0.4174757281553398,6789804
1927,r_155_100.jpg,Banana,102,154,172,"rgb(102,154,172)",43,103,0.4174757281553398,6724268
1552,r_151_100.jpg,Banana,101,152,170,"rgb(101,152,170)",43,103,0.4174757281553398,6658218
1725,r_291_100.jpg,Banana,104,144,158,"rgb(104,144,158)",43,103,0.4174757281553398,6852766
1752,r_157_100.jpg,Banana,104,156,173,"rgb(104,156,173)",43,103,0.4174757281553398,6855853
1646,r_152_100.jpg,Banana,101,153,171,"rgb(101,153,171)",43,103,0.4174757281553398,6658475
1850,r_266_100.jpg,Banana,116,157,169,"rgb(116,157,169)",42,100,0.42,7642537
1884,r_267_100.jpg,Banana,117,157,169,"rgb(117,157,169)",42,100,0.42,7708073
1924,r_99_100.jpg,Banana,105,144,159,"rgb(105,144,159)",42,100,0.42,6918303
1819,r_98_100.jpg,Banana,107,146,160,"rgb(107,146,160)",42,100,0.42,7049888
1707,r_265_100.jpg,Banana,116,157,169,"rgb(116,157,169)",42,100,0.42,7642537
1459,r_132_100.jpg,Banana,96,140,160,"rgb(96,140,160)",42,100,0.42,6327456
1619,r_153_100.jpg,Banana,103,154,172,"rgb(103,154,172)",43,102,0.4215686274509804,6789804
1716,r_92_100.jpg,Banana,110,152,165,"rgb(110,152,165)",43,102,0.4215686274509804,7248037
1782,r_156_100.jpg,Banana,105,156,173,"rgb(105,156,173)",43,102,0.4215686274509804,6921389
1804,r_290_100.jpg,Banana,103,143,158,"rgb(103,143,158)",44,103,0.42718446601941745,6786974
1642,r_130_100.jpg,Banana,94,138,158,"rgb(94,138,158)",43,100,0.43,6195870
1609,r_131_100.jpg,Banana,93,138,158,"rgb(93,138,158)",43,100,0.43,6130334
1789,r_93_100.jpg,Banana,106,149,162,"rgb(106,149,162)",44,102,0.43137254901960786,6985122
1453,r_150_100.jpg,Banana,102,152,170,"rgb(102,152,170)",44,102,0.43137254901960786,6723754
1527,r_148_100.jpg,Banana,101,151,170,"rgb(101,151,170)",45,104,0.4326923076923077,6657962
1482,r_149_100.jpg,Banana,101,152,170,"rgb(101,152,170)",45,104,0.4326923076923077,6658218
1775,r_289_100.jpg,Banana,105,145,159,"rgb(105,145,159)",45,103,0.4368932038834951,6918559
1756,r_288_100.jpg,Banana,103,143,158,"rgb(103,143,158)",45,103,0.4368932038834951,6786974
1579,r_128_100.jpg,Banana,94,137,156,"rgb(94,137,156)",44,100,0.44,6195612
1754,r_147_100.jpg,Banana,100,150,169,"rgb(100,150,169)",46,104,0.4423076923076923,6592169
1780,r_146_100.jpg,Banana,100,150,169,"rgb(100,150,169)",46,104,0.4423076923076923,6592169
1680,r_129_100.jpg,Banana,93,137,156,"rgb(93,137,156)",44,99,0.4444444444444444,6130076
1628,r_268_100.jpg,Banana,115,156,167,"rgb(115,156,167)",45,101,0.44554455445544555,7576743
1521,r_287_100.jpg,Banana,102,142,157,"rgb(102,142,157)",46,103,0.44660194174757284,6721181
1925,r_145_100.jpg,Banana,100,150,168,"rgb(100,150,168)",46,103,0.44660194174757284,6592168
1937,r_137_100.jpg,Banana,97,144,163,"rgb(97,144,163)",46,102,0.45098039215686275,6394019
1838,r_136_100.jpg,Banana,97,143,163,"rgb(97,143,163)",46,102,0.45098039215686275,6393763
1489,r_286_100.jpg,Banana,104,144,158,"rgb(104,144,158)",47,103,0.4563106796116505,6852766
1607,r_247_100.jpg,Banana,119,164,176,"rgb(119,164,176)",47,103,0.4563106796116505,7840944
1799,r_102_100.jpg,Banana,103,140,156,"rgb(103,140,156)",46,100,0.46,6786204
1698,r_97_100.jpg,Banana,106,146,160,"rgb(106,146,160)",47,102,0.46078431372549017,6984352
1621,r_143_100.jpg,Banana,99,148,166,"rgb(99,148,166)",48,104,0.46153846153846156,6526118
1644,r_142_100.jpg,Banana,100,148,166,"rgb(100,148,166)",48,104,0.46153846153846156,6591654
1829,r_144_100.jpg,Banana,99,148,167,"rgb(99,148,167)",48,104,0.46153846153846156,6526119
1935,r_127_100.jpg,Banana,91,135,154,"rgb(91,135,154)",46,99,0.46464646464646464,5998490
1499,r_104_100.jpg,Banana,104,139,154,"rgb(104,139,154)",46,99,0.46464646464646464,6851482
1570,r_285_100.jpg,Banana,102,143,157,"rgb(102,143,157)",48,103,0.46601941747572817,6721437
1550,r_141_100.jpg,Banana,99,147,166,"rgb(99,147,166)",48,103,0.46601941747572817,6525862
1744,r_125_100.jpg,Banana,91,133,153,"rgb(91,133,153)",47,100,0.47,5997977
1840,r_126_100.jpg,Banana,91,134,154,"rgb(91,134,154)",47,100,0.47,5998234
1904,r_248_100.jpg,Banana,119,163,176,"rgb(119,163,176)",50,106,0.4716981132075472,7840688
1669,r_284_100.jpg,Banana,103,144,158,"rgb(103,144,158)",49,103,0.47572815533980584,6787230
1862,r_249_100.jpg,Banana,119,164,176,"rgb(119,164,176)",50,105,0.47619047619047616,7840944
1536,r_105_100.jpg,Banana,101,136,151,"rgb(101,136,151)",48,100,0.48,6654103
1687,r_106_100.jpg,Banana,100,134,150,"rgb(100,134,150)",48,100,0.48,6588054
1596,r_107_100.jpg,Banana,100,133,149,"rgb(100,133,149)",48,100,0.48,6587797
1919,r_108_100.jpg,Banana,100,132,148,"rgb(100,132,148)",48,100,0.48,6587540
1834,r_250_100.jpg,Banana,120,163,176,"rgb(120,163,176)",50,104,0.4807692307692308,7906224
1767,r_124_100.jpg,Banana,91,132,152,"rgb(91,132,152)",48,99,0.48484848484848486,5997720
1909,r_283_100.jpg,Banana,102,144,158,"rgb(102,144,158)",50,103,0.4854368932038835,6721694
1560,r_255_100.jpg,Banana,120,163,174,"rgb(120,163,174)",51,104,0.49038461538461536,7906222
1773,r_252_100.jpg,Banana,120,163,175,"rgb(120,163,175)",51,104,0.49038461538461536,7906223
1746,r_253_100.jpg,Banana,119,163,175,"rgb(119,163,175)",51,104,0.49038461538461536,7840687
1464,r_254_100.jpg,Banana,120,162,175,"rgb(120,162,175)",51,104,0.49038461538461536,7905967
1933,r_251_100.jpg,Banana,120,163,175,"rgb(120,163,175)",52,106,0.49056603773584906,7906223
1657,r_269_100.jpg,Banana,114,155,166,"rgb(114,155,166)",51,103,0.49514563106796117,7510950
1874,r_282_100.jpg,Banana,102,144,158,"rgb(102,144,158)",51,103,0.49514563106796117,6721694
1822,r_109_100.jpg,Banana,99,131,147,"rgb(99,131,147)",50,100,0.5,6521747
1555,r_123_100.jpg,Banana,91,132,151,"rgb(91,132,151)",50,100,0.5,5997719
1846,r_100_100.jpg,Banana,105,143,158,"rgb(105,143,158)",52,104,0.5,6918046
1461,r_122_100.jpg,Banana,92,132,151,"rgb(92,132,151)",50,100,0.5,6063255
1533,r_273_100.jpg,Banana,109,150,162,"rgb(109,150,162)",52,103,0.5048543689320388,7181986
1494,r_272_100.jpg,Banana,111,152,164,"rgb(111,152,164)",52,103,0.5048543689320388,7313572
1726,r_281_100.jpg,Banana,102,144,158,"rgb(102,144,158)",52,103,0.5048543689320388,6721694
1693,r_270_100.jpg,Banana,112,153,165,"rgb(112,153,165)",52,103,0.5048543689320388,7379365
1637,r_256_100.jpg,Banana,119,161,174,"rgb(119,161,174)",54,106,0.5094339622641509,7840174
1902,r_258_100.jpg,Banana,119,161,173,"rgb(119,161,173)",54,106,0.5094339622641509,7840173
1803,r_280_100.jpg,Banana,102,144,158,"rgb(102,144,158)",53,104,0.5096153846153846,6721694
1611,r_121_100.jpg,Banana,90,130,149,"rgb(90,130,149)",51,100,0.51,5931669
1605,r_257_100.jpg,Banana,120,162,174,"rgb(120,162,174)",54,105,0.5142857142857142,7905966
1797,r_274_100.jpg,Banana,108,149,162,"rgb(108,149,162)",53,103,0.5145631067961165,7116194
1640,r_120_100.jpg,Banana,90,129,149,"rgb(90,129,149)",52,100,0.52,5931413
1705,r_275_100.jpg,Banana,106,148,161,"rgb(106,148,161)",54,103,0.5242718446601942,6984865
1848,r_276_100.jpg,Banana,106,148,161,"rgb(106,148,161)",54,103,0.5242718446601942,6984865
1712,r_103_100.jpg,Banana,103,140,154,"rgb(103,140,154)",55,104,0.5288461538461539,6786202
1823,r_119_100.jpg,Banana,89,128,147,"rgb(89,128,147)",53,100,0.53,5865619
1918,r_118_100.jpg,Banana,90,128,147,"rgb(90,128,147)",53,100,0.53,5931155
1881,r_111_100.jpg,Banana,96,129,146,"rgb(96,129,146)",53,100,0.53,6324626
1844,r_110_100.jpg,Banana,96,129,146,"rgb(96,129,146)",53,100,0.53,6324626
1864,r_259_100.jpg,Banana,118,160,172,"rgb(118,160,172)",57,107,0.5327102803738317,7774380
1690,r_260_100.jpg,Banana,120,161,172,"rgb(120,161,172)",57,107,0.5327102803738317,7905708
1496,r_262_100.jpg,Banana,117,159,170,"rgb(117,159,170)",57,107,0.5327102803738317,7708586
1631,r_278_100.jpg,Banana,102,144,158,"rgb(102,144,158)",55,103,0.5339805825242718,6721694
1800,r_112_100.jpg,Banana,94,127,145,"rgb(94,127,145)",54,100,0.54,6193041
1711,r_113_100.jpg,Banana,93,127,145,"rgb(93,127,145)",54,100,0.54,6127505
1594,r_117_100.jpg,Banana,89,127,146,"rgb(89,127,146)",54,100,0.54,5865362
1603,r_261_100.jpg,Banana,120,161,172,"rgb(120,161,172)",58,107,0.5420560747663551,7905708
1654,r_279_100.jpg,Banana,102,144,158,"rgb(102,144,158)",57,105,0.5428571428571428,6721694
1531,r_263_100.jpg,Banana,117,159,170,"rgb(117,159,170)",58,106,0.5471698113207547,7708586
1886,r_277_100.jpg,Banana,104,146,159,"rgb(104,146,159)",57,104,0.5480769230769231,6853279
1498,r_114_100.jpg,Banana,91,127,145,"rgb(91,127,145)",56,100,0.56,5996433
1537,r_115_100.jpg,Banana,90,127,145,"rgb(90,127,145)",56,100,0.56,5930897
1689,r_116_100.jpg,Banana,89,126,146,"rgb(89,126,146)",56,100,0.56,5865106
1589,104_100.jpg,Banana,109,168,185,"rgb(109,168,185)",60,106,0.5660377358490566,7186617
1493,97_100.jpg,Banana,110,167,184,"rgb(110,167,184)",60,106,0.5660377358490566,7251896
1534,96_100.jpg,Banana,110,167,184,"rgb(110,167,184)",60,106,0.5660377358490566,7251896
1896,112_100.jpg,Banana,107,167,184,"rgb(107,167,184)",60,106,0.5660377358490566,7055288
1504,107_100.jpg,Banana,107,167,184,"rgb(107,167,184)",61,107,0.5700934579439252,7055288
1879,r_101_100.jpg,Banana,104,142,157,"rgb(104,142,157)",61,106,0.5754716981132075,6852253
1506,117_100.jpg,Banana,105,166,183,"rgb(105,166,183)",62,107,0.5794392523364486,6923959
1696,95_100.jpg,Banana,110,167,184,"rgb(110,167,184)",62,107,0.5794392523364486,7251896
1852,93_100.jpg,Banana,110,166,183,"rgb(110,166,183)",63,108,0.5833333333333334,7251639
1598,94_100.jpg,Banana,110,167,184,"rgb(110,167,184)",63,108,0.5833333333333334,7251896
1739,119_100.jpg,Banana,106,166,183,"rgb(106,166,183)",62,106,0.5849056603773585,6989495
1882,92_100.jpg,Banana,110,166,183,"rgb(110,166,183)",63,107,0.5887850467289719,7251639
1762,118_100.jpg,Banana,106,166,183,"rgb(106,166,183)",63,107,0.5887850467289719,6989495
1454,121_100.jpg,Banana,105,165,182,"rgb(105,165,182)",63,107,0.5887850467289719,6923702
1551,120_100.jpg,Banana,105,165,183,"rgb(105,165,183)",63,107,0.5887850467289719,6923703
1792,91_100.jpg,Banana,111,166,183,"rgb(111,166,183)",63,107,0.5887850467289719,7317175
1710,90_100.jpg,Banana,110,165,182,"rgb(110,165,182)",64,108,0.5925925925925926,7251382
1758,88_100.jpg,Banana,109,164,182,"rgb(109,164,182)",65,109,0.5963302752293578,7185590
1618,122_100.jpg,Banana,104,164,182,"rgb(104,164,182)",65,108,0.6018518518518519,6857910
1735,89_100.jpg,Banana,109,165,182,"rgb(109,165,182)",65,108,0.6018518518518519,7185846
1928,124_100.jpg,Banana,105,165,182,"rgb(105,165,182)",65,108,0.6018518518518519,6923702
1647,123_100.jpg,Banana,105,164,182,"rgb(105,164,182)",65,108,0.6018518518518519,6923446
1826,125_100.jpg,Banana,104,164,181,"rgb(104,164,181)",66,108,0.6111111111111112,6857909
1781,127_100.jpg,Banana,103,163,180,"rgb(103,163,180)",67,108,0.6203703703703703,6792116
1753,126_100.jpg,Banana,103,163,180,"rgb(103,163,180)",67,108,0.6203703703703703,6792116
1697,85_100.jpg,Banana,109,163,180,"rgb(109,163,180)",69,110,0.6272727272727273,7185332
1601,r_271_100.jpg,Banana,112,152,165,"rgb(112,152,165)",68,107,0.6355140186915887,7379109
1524,129_100.jpg,Banana,104,163,180,"rgb(104,163,180)",69,108,0.6388888888888888,6857652
1485,128_100.jpg,Banana,104,163,180,"rgb(104,163,180)",69,108,0.6388888888888888,6857652
1880,170_100.jpg,Banana,94,131,146,"rgb(94,131,146)",64,100,0.64,6194066
